,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
158,Macro,1000,32,6,12,25.5,400.5,5.0,5.0,90.0,1.0
159,Macro,1000,32,6,12,17.694936752319336,401.1086730957031,10.114816665649414,6.99014949798584,126.66279602050781,1.4470100630271103
160,Macro,1000,32,6,12,17.5,401.5,7.0,7.0,90.0,1.0
161,Macro,1000,32,6,12,401.0,399.0,4.0,4.0,90.0,1.0
162,Macro,1000,32,6,12,62.0,399.0,4.0,4.0,90.0,1.0
163,Macro,1000,32,6,12,203.5966339111328,400.9096374511719,13.444308280944824,8.563831329345703,17.769485473632812,1.5698941004215226
164,Macro,1000,32,6,12,203.0,401.0,10.0,8.0,90.0,1.25
165,Macro,1000,32,6,12,165.42251586914062,399.4810791015625,8.616493225097656,7.331416130065918,37.897743225097656,1.1752836112741816
166,Macro,1000,32,6,12,165.0,399.5,7.0,6.0,90.0,1.1666666666666667
167,Macro,1000,32,6,12,94.0,398.0,4.0,4.0,90.0,1.0
168,Macro,1000,32,6,12,308.0,398.0,6.0,4.0,90.0,1.5
169,Macro,1000,32,6,12,285.7767639160156,396.20501708984375,42.50465774536133,8.073481559753418,86.26213836669922,5.264724695384022
170,Macro,1000,32,6,12,271.0,396.5,14.0,7.0,90.0,2.0
171,Macro,1000,32,6,12,57.87237548828125,392.36431884765625,8.299671173095703,5.715206146240234,69.54326629638672,1.45220853994141
172,Macro,1000,32,6,12,58.0,392.5,6.0,5.0,90.0,1.2
173,Macro,1000,32,6,12,214.10797119140625,397.21905517578125,26.8093204498291,6.461057662963867,9.510581016540527,4.1493702499369
174,Macro,1000,32,6,12,214.01922607421875,397.9038391113281,19.023263931274414,7.452413558959961,11.309932708740234,2.552631275864037
175,Macro,1000,32,6,12,73.19122314453125,393.5178527832031,11.707456588745117,7.15208625793457,27.99560546875,1.6369288857159392
176,Macro,1000,32,6,12,73.0,393.5,9.0,8.0,90.0,1.125
177,Macro,1000,32,6,12,383.0,390.0,4.0,4.0,90.0,1.0
178,Macro,1000,32,6,12,176.00302124023438,394.67169189453125,15.651411056518555,8.34662914276123,43.399261474609375,1.8751774864817772
179,Macro,1000,32,6,12,176.23648071289062,393.1689147949219,15.11219310760498,9.183563232421875,35.53767395019531,1.6455696688897972
180,Macro,1000,32,6,12,141.5,390.5,5.0,5.0,90.0,1.0
181,Macro,1000,32,6,12,1.0,390.0,4.0,2.0,90.0,2.0
182,Macro,1000,32,6,12,160.0,388.5,5.0,4.0,90.0,1.25
183,Macro,1000,32,6,12,10.549872398376465,387.69036865234375,9.282184600830078,6.539592266082764,124.96746063232422,1.419382772374299
184,Macro,1000,32,6,12,10.5,388.0,7.0,6.0,90.0,1.1666666666666667
185,Macro,1000,32,6,12,226.74374389648438,387.22406005859375,15.057429313659668,6.624409198760986,74.59191131591797,2.273022221585583
186,Macro,1000,32,6,12,226.5,387.5,11.0,7.0,90.0,1.5714285714285714
187,Macro,1000,32,6,12,376.0,385.0,4.0,4.0,90.0,1.0
188,Macro,1000,32,6,12,245.6554718017578,396.0693664550781,27.556673049926758,21.541229248046875,48.06602096557617,1.2792525780498483
189,Macro,1000,32,6,12,243.95050048828125,394.9886474609375,30.196094512939453,22.249753952026367,39.47246170043945,1.35714285101968
190,Macro,1000,32,6,12,69.15311431884766,384.1065673828125,12.564008712768555,7.127292156219482,48.87082290649414,1.762802539503707
191,Macro,1000,32,6,12,68.5,384.5,9.0,9.0,90.0,1.0
192,Macro,1000,32,6,12,22.0,381.5,5.0,4.0,90.0,1.25
193,Macro,1000,32,6,12,216.5,379.0,5.0,4.0,90.0,1.25
194,Macro,1000,32,6,12,1.0,379.5,5.0,2.0,90.0,2.5
195,Macro,1000,32,6,12,265.62481689453125,380.77288818359375,19.498056411743164,9.207756042480469,156.29502868652344,2.117568745499756
196,Macro,1000,32,6,12,266.0588073730469,379.76470947265625,17.788297653198242,10.195732116699219,77.47119140625,1.744680759517351
