,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
98,Macro,1000,32,6,12,196.59649658203125,285.89044189453125,15.231670379638672,10.01570987701416,17.493135452270508,1.5207779145635028
99,Macro,1000,32,6,12,196.5,285.0,14.0,11.0,90.0,1.2727272727272727
100,Macro,1000,32,6,12,321.0893249511719,277.9095764160156,12.885492324829102,8.460865020751953,176.56692504882812,1.5229521205248955
101,Macro,1000,32,6,12,321.0,280.0,8.0,8.0,90.0,1.0
102,Macro,1000,32,6,12,400.8667907714844,278.1298522949219,8.947775840759277,6.6164374351501465,114.04704284667969,1.3523555430636707
103,Macro,1000,32,6,12,401.0,278.0,6.0,6.0,90.0,1.0
104,Macro,1000,32,6,12,272.9139404296875,271.7337341308594,13.191858291625977,5.677901268005371,84.50263977050781,2.3233687359027
105,Macro,1000,32,6,12,272.0,271.5,8.0,5.0,90.0,1.6
106,Macro,1000,32,6,12,1.0,270.0,4.0,2.0,90.0,2.0
107,Macro,1000,32,6,12,103.4515380859375,265.7483215332031,9.820969581604004,6.898103713989258,78.05768585205078,1.4237201974344362
108,Macro,1000,32,6,12,104.0,266.0,6.0,6.0,90.0,1.0
109,Macro,1000,32,6,12,225.0,264.0,6.0,4.0,90.0,1.5
110,Macro,1000,32,6,12,283.0,263.0,4.0,4.0,90.0,1.0
111,Macro,1000,32,6,12,50.0,263.0,4.0,4.0,90.0,1.0
112,Macro,1000,32,6,12,50.5,257.0,5.0,4.0,90.0,1.25
113,Macro,1000,32,6,12,189.99488830566406,253.22767639160156,10.020608901977539,6.2388505935668945,81.37619018554688,1.6061626659741064
114,Macro,1000,32,6,12,190.5,253.5,7.0,5.0,90.0,1.4
115,Macro,1000,32,6,12,402.0989074707031,254.31959533691406,12.651869773864746,7.475998878479004,118.68529510498047,1.6923316843031384
116,Macro,1000,32,6,12,403.0,254.0,8.0,8.0,90.0,1.0
117,Macro,1000,32,6,12,312.4237976074219,253.36187744140625,8.255280494689941,7.728748798370361,135.2442169189453,1.0681263824269462
118,Macro,1000,32,6,12,312.5,253.5,7.0,7.0,90.0,1.0
119,Macro,1000,32,6,12,143.77232360839844,251.99488830566406,10.020608901977539,6.2388505935668945,171.37619018554688,1.6061626659741064
120,Macro,1000,32,6,12,143.5,252.5,7.0,5.0,90.0,1.4
121,Macro,1000,32,6,12,373.20849609375,249.8841094970703,10.899192810058594,7.636858940124512,93.39008331298828,1.427182680145313
122,Macro,1000,32,6,12,372.5,249.5,9.0,7.0,90.0,1.2857142857142858
123,Macro,1000,32,6,12,165.27272033691406,242.27272033691406,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
124,Macro,1000,32,6,12,165.5,242.5,5.0,5.0,90.0,1.0
125,Macro,1000,32,6,12,391.0,236.5,5.0,4.0,90.0,1.25
126,Macro,1000,32,6,12,300.0,232.0,6.0,4.0,90.0,1.5
127,Macro,1000,32,6,12,140.76922607421875,232.76922607421875,8.514898300170898,7.83256721496582,45.0,1.0871146159973368
128,Macro,1000,32,6,12,141.0,233.0,6.0,6.0,90.0,1.0
129,Macro,1000,32,6,12,84.0,229.0,9.52615737915039,6.121731758117676,110.34781646728516,1.556121332255093
130,Macro,1000,32,6,12,84.0,229.0,6.0,6.0,90.0,1.0
131,Macro,1000,32,6,12,261.0,228.5,7.0,4.0,90.0,1.75
132,Macro,1000,32,6,12,111.0,227.0,4.0,4.0,90.0,1.0
133,Macro,1000,32,6,12,20.0,227.0,4.0,4.0,90.0,1.0
134,Macro,1000,32,6,12,369.0,224.0,4.0,4.0,90.0,1.0
135,Macro,1000,32,6,12,207.27474975585938,226.56480407714844,18.063003540039062,8.171143531799316,39.756446838378906,2.2105845368820147
136,Macro,1000,32,6,12,207.0,227.5,13.0,12.0,90.0,1.0833333333333333
137,Macro,1000,32,6,12,193.0369415283203,224.8690948486328,14.108864784240723,7.099663734436035,70.94279479980469,1.987258173342412
138,Macro,1000,32,6,12,192.0,224.5,10.0,7.0,90.0,1.4285714285714286
139,Macro,1000,32,6,12,238.47586059570312,219.75814819335938,9.102737426757812,5.949645042419434,100.67732238769531,1.5299631090355212
140,Macro,1000,32,6,12,239.0,219.5,6.0,5.0,90.0,1.2
141,Macro,1000,32,6,12,133.0,218.5,7.0,4.0,90.0,1.75
142,Macro,1000,32,6,12,93.0,215.0,11.230231285095215,6.800507068634033,104.3022232055664,1.6513814590227236
143,Macro,1000,32,6,12,93.0,215.0,8.0,6.0,90.0,1.3333333333333333
144,Macro,1000,32,6,12,142.0,214.0,9.52615737915039,6.121731758117676,20.347820281982422,1.556121332255093
145,Macro,1000,32,6,12,142.0,214.0,6.0,6.0,90.0,1.0
146,Macro,1000,32,6,12,16.29166603088379,214.60824584960938,10.879975318908691,7.776091575622559,91.88923645019531,1.3991573032674367
147,Macro,1000,32,6,12,17.5,214.5,7.0,7.0,90.0,1.0
148,Macro,1000,32,6,12,72.09423828125,214.22076416015625,10.444911003112793,8.358165740966797,134.9944610595703,1.2496654561320795
149,Macro,1000,32,6,12,72.0,214.5,9.0,8.0,90.0,1.125
150,Macro,1000,32,6,12,166.5,211.0,5.0,4.0,90.0,1.25
151,Macro,1000,32,6,12,272.0,205.0,7.211102485656738,7.211102485656738,0.0,1.0
152,Macro,1000,32,6,12,271.5,205.0,6.0,5.0,90.0,1.2
153,Macro,1000,32,6,12,256.0286865234375,204.88046264648438,11.142691612243652,5.5854902267456055,160.92950439453125,1.9949352984072732
154,Macro,1000,32,6,12,256.0,205.5,7.0,6.0,90.0,1.1666666666666667
155,Macro,1000,32,6,12,148.0,204.5,5.0,4.0,90.0,1.25
156,Macro,1000,32,6,12,323.8541564941406,203.15463256835938,18.88446617126465,6.19407844543457,4.72774076461792,3.0487935110320894
157,Macro,1000,32,6,12,324.0,205.0,8.0,6.0,90.0,1.3333333333333333
158,Macro,1000,32,6,12,282.0,202.5,5.0,4.0,90.0,1.25
159,Macro,1000,32,6,12,371.1864929199219,204.17825317382812,11.43151569366455,8.420428276062012,3.305896043777466,1.3575931435889788
160,Macro,1000,32,6,12,371.5,203.5,9.0,7.0,90.0,1.2857142857142858
161,Macro,1000,32,6,12,101.0,200.5,5.0,4.0,90.0,1.25
162,Macro,1000,32,6,12,76.2727279663086,200.72727966308594,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
163,Macro,1000,32,6,12,76.5,200.5,5.0,5.0,90.0,1.0
164,Macro,1000,32,6,12,326.0,196.0,4.0,4.0,90.0,1.0
165,Macro,1000,32,6,12,389.54461669921875,195.02438354492188,15.496042251586914,10.154702186584473,139.2667999267578,1.5259967221942723
166,Macro,1000,32,6,12,389.5,195.0,12.0,11.0,90.0,1.0909090909090908
167,Macro,1000,32,6,12,65.5,188.0,5.0,4.0,90.0,1.25
168,Macro,1000,32,6,12,276.76922607421875,184.76922607421875,8.514898300170898,7.83256721496582,45.0,1.0871146159973368
169,Macro,1000,32,6,12,277.0,185.0,6.0,6.0,90.0,1.0
170,Macro,1000,32,6,12,115.0,181.0,4.0,4.0,90.0,1.0
171,Macro,1000,32,6,12,49.600589752197266,177.1356964111328,14.084366798400879,8.54117488861084,157.94956970214844,1.648996418183822
172,Macro,1000,32,6,12,49.5,179.0,10.0,9.0,90.0,1.1111111111111112
173,Macro,1000,32,6,12,343.5,173.0,5.0,4.0,90.0,1.25
174,Macro,1000,32,6,12,232.0,173.5,5.0,4.0,90.0,1.25
175,Macro,1000,32,6,12,276.93255615234375,169.69775390625,14.992383003234863,9.11044979095459,27.371919631958008,1.6456248974798384
176,Macro,1000,32,6,12,277.0,171.5,10.0,9.0,90.0,1.1111111111111112
177,Macro,1000,32,6,12,298.5,165.0,5.0,4.0,90.0,1.25
178,Macro,1000,32,6,12,246.6037139892578,163.49163818359375,9.957322120666504,6.429206848144531,49.61526107788086,1.5487636898072716
179,Macro,1000,32,6,12,246.5,163.5,7.0,7.0,90.0,1.0
180,Macro,1000,32,6,12,236.0,160.0,4.0,4.0,90.0,1.0
181,Macro,1000,32,6,12,125.4515380859375,159.2516632080078,9.820969581604004,6.898103713989258,101.94231414794922,1.4237201974344362
182,Macro,1000,32,6,12,126.0,159.0,6.0,6.0,90.0,1.0
183,Macro,1000,32,6,12,77.0,154.0,4.0,4.0,90.0,1.0
184,Macro,1000,32,6,12,202.5,151.0,5.0,4.0,90.0,1.25
185,Macro,1000,32,6,12,124.7272720336914,151.72727966308594,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
186,Macro,1000,32,6,12,124.5,151.5,5.0,5.0,90.0,1.0
187,Macro,1000,32,6,12,388.5,145.5,5.0,5.0,90.0,1.0
188,Macro,1000,32,6,12,130.0,136.0,4.0,4.0,90.0,1.0
189,Macro,1000,32,6,12,314.5,135.5,7.071067810058594,5.773502826690674,45.0,1.224744842484415
190,Macro,1000,32,6,12,314.5,135.5,5.0,5.0,90.0,1.0
191,Macro,1000,32,6,12,251.52078247070312,128.9116668701172,14.407171249389648,8.483148574829102,153.4810028076172,1.6983282943007856
192,Macro,1000,32,6,12,251.5,130.0,10.0,9.0,90.0,1.1111111111111112
193,Macro,1000,32,6,12,230.5,127.5,9.578749656677246,5.552150726318359,105.61153411865234,1.725232280037349
194,Macro,1000,32,6,12,230.5,127.5,7.0,5.0,90.0,1.4
195,Macro,1000,32,6,12,198.72727966308594,126.2727279663086,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
196,Macro,1000,32,6,12,198.5,126.5,5.0,5.0,90.0,1.0
197,Macro,1000,32,6,12,355.8081970214844,123.34191131591797,9.354538917541504,6.948801517486572,50.486751556396484,1.3462089676904605
198,Macro,1000,32,6,12,355.5,123.0,7.0,6.0,90.0,1.1666666666666667
199,Macro,1000,32,6,12,261.7641906738281,118.9765625,9.767112731933594,8.321036338806152,133.81504821777344,1.173785612061744
200,Macro,1000,32,6,12,262.0,119.0,8.0,8.0,90.0,1.0
201,Macro,1000,32,6,12,292.39813232421875,113.3033447265625,13.528674125671387,8.023640632629395,141.65541076660156,1.686101701845283
202,Macro,1000,32,6,12,292.5,114.0,10.0,9.0,90.0,1.1111111111111112
203,Macro,1000,32,6,12,130.27272033691406,108.7272720336914,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
204,Macro,1000,32,6,12,130.5,108.5,5.0,5.0,90.0,1.0
205,Macro,1000,32,6,12,83.0,105.0,6.0,4.0,90.0,1.5
206,Macro,1000,32,6,12,200.93650817871094,104.37881469726562,8.581232070922852,6.777571678161621,7.057982444763184,1.2661219207128271
207,Macro,1000,32,6,12,201.5,104.5,7.0,5.0,90.0,1.4
208,Macro,1000,32,6,12,265.3303527832031,103.33401489257812,13.109135627746582,6.645450592041016,3.1512887477874756,1.9726481216257716
209,Macro,1000,32,6,12,265.0,104.0,10.0,6.0,90.0,1.6666666666666667
210,Macro,1000,32,6,12,353.8531799316406,102.4611587524414,12.128290176391602,10.068808555603027,126.8795166015625,1.2045407467443134
211,Macro,1000,32,6,12,353.5,102.5,11.0,11.0,90.0,1.0
212,Macro,1000,32,6,12,9.727272987365723,98.7272720336914,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
213,Macro,1000,32,6,12,9.5,98.5,5.0,5.0,90.0,1.0
214,Macro,1000,32,6,12,366.0,95.0,4.0,4.0,90.0,1.0
215,Macro,1000,32,6,12,79.22779846191406,95.711669921875,9.811328887939453,8.243366241455078,161.2582244873047,1.1902090239057006
216,Macro,1000,32,6,12,79.5,96.0,8.0,7.0,90.0,1.1428571428571428
217,Macro,1000,32,6,12,107.1387710571289,95.79499816894531,13.75156307220459,10.272451400756836,46.035648345947266,1.338683682766455
218,Macro,1000,32,6,12,107.5,96.0,12.0,11.0,90.0,1.0909090909090908
219,Macro,1000,32,6,12,309.63568115234375,91.12762451171875,8.299671173095703,5.715206146240234,20.456737518310547,1.45220853994141
220,Macro,1000,32,6,12,309.5,91.0,6.0,5.0,90.0,1.2
221,Macro,1000,32,6,12,299.0743408203125,91.5443115234375,11.643407821655273,6.027295112609863,13.294458389282227,1.9317799450861122
222,Macro,1000,32,6,12,299.0,91.5,7.0,6.0,90.0,1.1666666666666667
223,Macro,1000,32,6,12,218.71669006347656,83.6351089477539,10.852004051208496,7.725620746612549,129.4601593017578,1.4046772948266677
224,Macro,1000,32,6,12,218.5,84.0,8.0,7.0,90.0,1.1428571428571428
225,Macro,1000,32,6,12,138.46432495117188,82.00212097167969,18.641122817993164,7.7073445320129395,111.99691009521484,2.4186180779341173
226,Macro,1000,32,6,12,138.39654541015625,81.75862884521484,17.26966667175293,8.541985511779785,21.801406860351562,2.0217391668409266
227,Macro,1000,32,6,12,376.2758483886719,78.62064361572266,11.775429725646973,7.9250617027282715,33.718807220458984,1.485847071902693
228,Macro,1000,32,6,12,376.0,78.0,8.0,8.0,90.0,1.0
229,Macro,1000,32,6,12,236.8430938720703,71.98526000976562,10.737977027893066,5.688483238220215,156.02561950683594,1.8876696261924317
230,Macro,1000,32,6,12,237.0,72.0,8.0,6.0,90.0,1.3333333333333333
231,Macro,1000,32,6,12,358.1472473144531,71.93164825439453,15.525484085083008,7.921404838562012,169.01478576660156,1.959940743023731
232,Macro,1000,32,6,12,358.0,72.5,13.0,8.0,90.0,1.625
233,Macro,1000,32,6,12,322.36138916015625,65.875,12.989248275756836,6.099941253662109,159.48439025878906,2.1294054705787078
234,Macro,1000,32,6,12,322.5,66.5,9.0,7.0,90.0,1.2857142857142858
235,Macro,1000,32,6,12,331.0,59.0,4.0,4.0,90.0,1.0
236,Macro,1000,32,6,12,270.7527770996094,61.23458480834961,13.596635818481445,6.642065048217773,115.2839126586914,2.047049482318718
237,Macro,1000,32,6,12,269.5,61.0,9.0,8.0,90.0,1.125
238,Macro,1000,32,6,12,403.5,58.0,7.0,4.0,90.0,1.75
239,Macro,1000,32,6,12,117.59151458740234,61.46994400024414,17.188928604125977,5.057347297668457,173.4542236328125,3.398803284095287
240,Macro,1000,32,6,12,117.5,61.5,11.0,5.0,90.0,2.2
241,Macro,1000,32,6,12,214.03921508789062,59.74758529663086,14.344347953796387,6.944729328155518,32.350181579589844,2.0655013717584536
242,Macro,1000,32,6,12,213.7692413330078,60.653846740722656,14.015923500061035,6.945944309234619,29.744882583618164,2.0178571661490134
243,Macro,1000,32,6,12,310.1817321777344,59.09433364868164,18.9682559967041,6.330599308013916,4.253938674926758,2.9962812482369805
244,Macro,1000,32,6,12,310.0,57.5,9.0,6.0,90.0,1.5
245,Macro,1000,32,6,12,381.5,54.5,5.0,5.0,90.0,1.0
246,Macro,1000,32,6,12,320.4473571777344,54.627769470214844,14.168092727661133,7.0639262199401855,148.81231689453125,2.005696589478408
247,Macro,1000,32,6,12,320.5,54.5,11.0,9.0,90.0,1.2222222222222223
248,Macro,1000,32,6,12,78.0,51.0,6.0,4.0,90.0,1.5
249,Macro,1000,32,6,12,353.5,51.0,7.849597454071045,6.387300968170166,148.28253173828125,1.228938090312002
250,Macro,1000,32,6,12,353.5,51.0,6.0,5.0,90.0,1.2
251,Macro,1000,32,6,12,220.0,49.0,6.0,4.0,90.0,1.5
252,Macro,1000,32,6,12,328.0,42.0,4.0,4.0,90.0,1.0
253,Macro,1000,32,6,12,164.0,41.0,4.0,4.0,90.0,1.0
254,Macro,1000,32,6,12,357.0,37.0,4.0,4.0,90.0,1.0
255,Macro,1000,32,6,12,115.0,33.0,4.0,4.0,90.0,1.0
256,Macro,1000,32,6,12,231.31983947753906,33.39457321166992,12.61733341217041,7.073216438293457,130.50479125976562,1.7838183692304166
257,Macro,1000,32,6,12,231.5,33.5,9.0,9.0,90.0,1.0
258,Macro,1000,32,6,12,72.709716796875,31.80415153503418,11.03661823272705,8.542354583740234,74.89971923828125,1.2919878383103496
259,Macro,1000,32,6,12,73.0,32.0,10.0,8.0,90.0,1.25
260,Macro,1000,32,6,12,356.21453857421875,28.895410537719727,9.44625186920166,6.436046123504639,59.08052444458008,1.4677104060369701
261,Macro,1000,32,6,12,356.5,29.0,7.0,6.0,90.0,1.1666666666666667
262,Macro,1000,32,6,12,303.2727355957031,17.272727966308594,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
263,Macro,1000,32,6,12,303.5,17.5,5.0,5.0,90.0,1.0
264,Macro,1000,32,6,12,330.0,11.0,4.0,4.0,90.0,1.0
265,Macro,1000,32,6,12,256.1746826171875,4.106318473815918,9.19807243347168,6.825505256652832,95.38558197021484,1.3476031572177463
266,Macro,1000,32,6,12,257.0,4.0,6.0,6.0,90.0,1.0
267,Macro,1000,32,6,12,197.5121307373047,0.8338127136230469,7.5223188400268555,7.1238322257995605,33.41778564453125,1.055937113845009
268,Macro,1000,32,6,12,197.5,2.0,7.0,4.0,90.0,1.75
269,Macro,1000,32,6,12,117.01100158691406,1.4789998531341553,12.53134822845459,5.250576496124268,80.13975524902344,2.386661395697149
270,Macro,1000,32,6,12,118.0,2.0,10.0,4.0,90.0,2.5
271,Macro,1000,32,6,120,194.0,390.5,5.0,4.0,90.0,1.25
272,Macro,1000,32,6,120,167.5,380.0,10.879036903381348,6.209930419921875,43.757667541503906,1.7518774233734833
273,Macro,1000,32,6,120,167.5,380.0,8.0,7.0,90.0,1.1428571428571428
274,Macro,1000,32,6,120,114.5,329.0,5.0,4.0,90.0,1.25
275,Macro,1000,32,6,120,231.5,325.0,5.0,4.0,90.0,1.25
276,Macro,1000,32,6,120,302.0,270.0,4.0,4.0,90.0,1.0
277,Macro,1000,32,6,120,272.0,260.0,4.0,4.0,90.0,1.0
278,Macro,1000,32,6,120,81.0,256.0,4.0,4.0,90.0,1.0
279,Macro,1000,32,6,120,294.0,196.5,5.0,4.0,90.0,1.25
280,Macro,1000,32,6,120,403.5,173.0,7.849597454071045,6.387300968170166,31.71747398376465,1.228938090312002
281,Macro,1000,32,6,120,403.5,173.0,6.0,5.0,90.0,1.2
282,Macro,1000,32,6,120,384.0,163.5,8.73733139038086,5.214605331420898,108.591796875,1.675549890177417
283,Macro,1000,32,6,120,384.0,163.5,6.0,5.0,90.0,1.2
284,Macro,1000,32,6,120,407.0,150.0,4.0,4.0,90.0,1.0
285,Macro,1000,32,6,120,347.0,151.0,8.485280990600586,6.0,135.0,1.414213498433431
286,Macro,1000,32,6,120,347.0,151.0,6.0,6.0,90.0,1.0
287,Macro,1000,32,6,120,380.07928466796875,152.2791748046875,21.759963989257812,5.561098098754883,173.50042724609375,3.912889793138125
